Concept 1,Concept 2,Concept 3,Concept 4,Concept 5,Concept 6,Concept 7,Concept 8
2 Japanese ,16 Japanese ,4 Japanese ,13 Japanese ,3 Japanese ,6 Japanese ,15 Japanese ,1 Japanese 
44 Norwegian ,38 Norwegian ,36 Norwegian ,39 Norwegian ,41 Norwegian ,24 Norwegian ,23 Norwegian ,28 Norwegian 
52 Swedish ,34 Swedish ,32 Swedish ,19 Swedish ,22 Swedish ,32 Swedish ,18 Swedish ,26 Swedish 
Concept 9,Concept 10,Concept 11,Concept 12,Concept 13,Concept 14,Concept 15,Concept 16
4 Japanese ,15 Japanese ,2 Japanese ,3 Japanese ,0 Japanese ,3 Japanese ,18 Japanese ,0 Japanese 
23 Norwegian ,14 Norwegian ,18 Norwegian ,22 Norwegian ,21 Norwegian ,20 Norwegian ,9 Norwegian ,15 Norwegian 
23 Swedish ,11 Swedish ,19 Swedish ,13 Swedish ,16 Swedish ,10 Swedish ,2 Swedish ,14 Swedish 
Concept 17,Concept 18,Concept 19,Concept 20,Concept 21,Concept 22,Concept 23,Concept 24
2 Japanese ,3 Japanese ,1 Japanese ,10 Japanese ,3 Japanese ,0 Japanese ,0 Japanese ,2 Japanese 
13 Norwegian ,12 Norwegian ,9 Norwegian ,3 Norwegian ,4 Norwegian ,4 Norwegian ,8 Norwegian ,4 Norwegian 
9 Swedish ,6 Swedish ,8 Swedish ,1 Swedish ,7 Swedish ,6 Swedish ,2 Swedish ,3 Swedish 
Concept 25,Concept 26,Concept 27,Concept 28,Concept 29,Concept 30,Concept 31,Concept 32
7 Japanese ,0 Japanese ,4 Japanese ,0 Japanese ,1 Japanese ,0 Japanese ,0 Japanese ,2 Japanese 
1 Norwegian ,2 Norwegian ,2 Norwegian ,3 Norwegian ,2 Norwegian ,1 Norwegian ,3 Norwegian ,0 Norwegian 
1 Swedish ,6 Swedish ,1 Swedish ,3 Swedish ,2 Swedish ,4 Swedish ,2 Swedish ,3 Swedish 
Concept 33,Concept 34,Concept 35,Concept 36,Concept 37,Concept 38,Concept 39,
3 Japanese ,1 Japanese ,0 Japanese ,0 Japanese ,1 Japanese ,0 Japanese ,0 Japanese ,
1 Norwegian ,2 Norwegian ,2 Norwegian ,1 Norwegian ,1 Norwegian ,0 Norwegian ,1 Norwegian ,
1 Swedish ,0 Swedish ,1 Swedish ,1 Swedish ,0 Swedish ,1 Swedish ,0 Swedish ,
